ID	Category	Description	Response
AMB-01	Undefined Workflow	No defined behavior for what happens when Kafka is unavailable but telemetry_consumers_enabled=true. No circuit breaker or graceful degradation documented.	The application should provide a visual feedback to user about kafka absence on the Pedkai Dashboard suggesting corrective action and specifying it.
AMB-02	Missing Design Decision	SSE alarm endpoint accepts unauthenticated tenant_id parameter (deprecated but functional). No decision on removal timeline or migration path.	No alarm endpoint should ever connect to Pedkai from outside defined tenant_ids. Remove any deprecated code.
AMB-03	Contradictory Specification	docker-compose.prod.yml uses Zookeeper-based Kafka; docker-compose.cloud.yml uses KRaft mode. No documented rationale for which is canonical for production.	docker-compose.cloud.yml is the only valid yaml file. Remove the other one unless you can demonstrate it is being actively used and specify where so I can correct the error.
AMB-04	Implicit Assumption	All in-memory shared state (_ingestion_running, _jobs, _rate_limit_store, _active_connections, _ai_analysis_cache) assumes single-process deployment. No documentation states this constraint.	Don't understand the significance of this. Explain so I can provide better guidance.
AMB-05	Missing Design Decision	Secret key validation: no minimum length or entropy requirement. secret_key can be any string including "demo-secret-key-insecure-only-for-local-playpen" (which IS the current .env value).	Enforce best practice, but specify what it is clearly first. Choose a relatively user-friendly option.
AMB-06	Undefined Workflow	No documented rollback procedure for failed Alembic migrations in production. scripts/cloud/rollback-migrations.sh exists but its scope/limits are undocumented.	Document the latest status as-is. Follow best practice.
AMB-07	Missing Design Decision	Default admin password is "admin" in config.py. No startup guard prevents production boot with default credentials.	Enforce password change on first login, but keep the default the same.	
AMB-08	Implicit Assumption	Event bus uses asyncio.Queue fallback when Redis unavailable. No guarantee of message durability, ordering, or at-least-once delivery in fallback mode. Messages lost on process restart.	Idempotency is expected throughout the platform. Implement if missing.
AMB-09	Undefined Workflow	Token refresh endpoint re-resolves role/scopes from DB (good), but no mechanism to force-logout active sessions when a user is deactivated. Deactivated users retain valid JWTs until expiry.	Enforce best practice.
AMB-10	Contradictory Specification	.env sets EMBEDDING_DIMENSION=768 (local); .env.cloud.example sets EMBEDDING_DIMENSION=3072 (cloud). No documentation on which embedding model maps to which dimension or what happens on mismatch.	The cloud specification is the right specification for Pedkai. For dev env it can be reduced if platform is limited. Add this information appropriately.
AMB-11	Missing Design Decision	CI/CD pipeline (deploy.yml) uses docker compose -f docker-compose.prod.yml but cloud deployment uses docker-compose.cloud.yml. Which compose file is actually used in production?	docker-compose.cloud.yml
AMB-12	Implicit Assumption	Rate limiting is in-memory per-process. In any multi-worker or multi-instance deployment, limits are per-instance, not global. No design decision documents this as acceptable or plans for distributed rate limiting.	Follow best practice.
AMB-13	Undefined Workflow	No health check endpoint verifies downstream dependencies (DB, Kafka, Redis, Ollama). /health/ready exists but its scope is undefined — does it check DB connectivity?	Follow best practice.
AMB-14	Missing Design Decision	Frontend stores JWT in sessionStorage (cleared on tab close) but default credentials operator:operator are pre-filled in login form. No documented decision on whether this is demo-only or production behavior.	This is production behaviour currently but I don't like it. No default user id or password should be filled in anywhere.
AMB-15	Implicit Assumption	Background thread spawning in reports.py (AI analysis) creates new event loops inside threads. No design decision on whether this is acceptable or whether asyncio.create_task should be used instead.
AMB-16	Missing Design Decision	USE_DATABASE flag in decisions.py is hardcoded to True via or True. In-memory fallback path exists but is dead code. No decision on whether to remove it.	Remove dead code, but confirm rigorously that it is truly dead.
AMB-17	Undefined Workflow	No documented data retention policy for production. TimescaleDB has 30-day retention for KPI metrics, but no policy for incidents, decision traces, abeyance fragments, or audit logs.	All abeyance memory must be retained indefinitely. Other data should be retained for 36 months in the main system.
